_id,doc_id,name,position,stars,department,hospital,speciality,register_time,articles
ObjectID(au2),ObjectID(au2),高哲,主治医师,0,皮肤科,浙江大学附属第一医院,擅长湿疹、荨麻疹、皮炎、脱发、白癜风、痤疮、带状疱疹、痤疮、疣、银屑病、鸡眼、疣、黄褐斑、甲沟炎等皮肤疾病的诊治。,2017/10/16,[]
ObjectID(au3),ObjectID(au3),王蕾,主治医师,0,皮肤科,浙江大学附属第一医院,本人专注于痤疮及玫瑰痤疮等损容性皮肤病，对皮肤科常见疾病如：湿疹，寻常疣，白癜风等等，有丰富的临床经验。,2015/6/1,Object(a1)
ObjectID(au4),ObjectID(au4),岳超,主治医师,0,皮肤美容,浙江大学附属第一医院,皮肤病和美容整形，如皮炎、痤疮、皮肤肿瘤、肉毒素、透明质酸、毛发、上下眼睑整形、脂肪移植等，请提供清晰照片和具体病史。,2014/12/19,Object(a2)
ObjectID(au5),ObjectID(au5),王苏,医师,0,皮肤科,浙江大学附属第一医院,多年丰富诊治经验，擅长痤疮（青春痘）、玫瑰痤疮（酒渣鼻）、荨麻疹、脂溢性脱发、斑秃、湿疹、疱疹、过敏、痣、脚气、灰指甲等,2015/5/23,Object(a3)
ObjectID(au6),ObjectID(au6),杨丽青,主治医师,0,妇科,浙江大学附属第一医院,本人对如子宫肌瘤、卵巢囊肿、宫颈疾病、阴道炎、妇科内分泌疾病，外阴皮肤疾病、月经不调有丰富经验；孕期监测、产前检查可指导,2016/11/14,[]
ObjectID(au7),ObjectID(au7),姚燕婷,主治医师,1,妇科,浙江大学附属第一医院,本人从事妇科专业工作十余年，对妇科疑难病症有丰富的临床经验，尤其擅长对女性子宫内膜异位症诊治，对不孕不育方便有独到见解。,2021/2/10,[]
ObjectID(au8),ObjectID(au8),罗丽敏,副主任医师,0,皮肤科,浙江大学附属第一医院,医学博士，副主任医师，美容主诊医师，三甲医院工作12年。擅长皮肤肿瘤、湿疹、荨麻疹、痤疮、瘢痕、足癣、性病的诊治。,2018/11/4,Object(a4)
ObjectID(au9),ObjectID(au9),申小冬,主治医师,0,肝胆外科,浙江大学医学院附属第一医院,擅长肝胆胰肿瘤，胆道结石，胰腺炎的诊治，常规疾病的微创治疗，复杂疾病的治疗,2017/3/19,[]
ObjectID(au10),ObjectID(au10),李想,主治医师,0,肝胆外科,浙江大学附属第一医院,华中科技大学附属同济医学院外科学博士,2018/6/19,Object(a5)
ObjectID(au11),ObjectID(au11),孙飞,主治医师,0,肝胆外科,浙江大学附属第一医院,从事肝胆胰外科工作多年，擅长胆囊结石，胆囊息肉，胆囊炎，胆总管结石，胰腺炎，肝癌，胰腺癌，胆管癌等肝胆胰疾病的诊治。,2018/5/4,Object(a6)
ObjectID(au12),ObjectID(au12),陈晓帆,主治医师,0,心胸外科,浙江大学医学院附属第一医院,擅长心脏瓣膜病、先天性心脏病、心脏肿瘤、肺结节的诊疗,2014/1/6,Object(a7)
ObjectID(au13),ObjectID(au13),谢郭豪,副主任医师,0,麻醉科,浙江大学附属第一医院,麻醉科副主任医师，擅长手术麻醉前咨询评估，特别是手术室外的麻醉（如无痛胃肠镜、无痛人流等）及麻醉前评估。,2020/8/20,[]
ObjectID(au14),ObjectID(au14),邵力,主治医师,0,血液科,浙江大学医学院附属第一医院,擅长贫血，骨髓增殖性疾病，ITP，急慢性白血病等血液系统疾病的诊断和治疗，曾访问伦敦圣巴茨医院进修学习。,2015/11/5,"['Object(a8)', 'Object(a9)']"
ObjectID(au15),ObjectID(au15),贾红宇,副主任医师,0,,浙江大学附属第一医院,浙江大学医学院博士，21年三甲医院临床工作经验。擅长各种肝病、发热待查、脑膜炎、结核病、新发突发传染病等，欢迎向我咨询。,2014/1/24,[]
ObjectID(au16),ObjectID(au16),代志军,主任医师,0,乳腺外科,浙江大学附属第一医院,代志军，男，医学博士，主任医师，博士生导师。擅长乳腺良恶性肿瘤手术治疗，乳房重建手术，微创手术治疗，晚期乳腺癌综合治疗。,2013/4/20,[]
ObjectID(au17),ObjectID(au17),高磊,副主任医师,0,神经科,浙江大学附属第一医院,擅长高血压，高血脂，脑梗，动脉硬化，头痛、头晕、失眠、偏瘫、癫痫、肢体无力、肢体麻木、记忆力下降、步态不稳、卒中、痴呆、三叉神经痛、帕金森病、椎间盘突出，乙肝。,2016/8/25,[]
ObjectID(au18),ObjectID(au18),应俊,副主任医师,0,妇科,浙江大学医学院附属第一医院,中国协和医科大学八年制博士，先后于浙江省妇保和浙医一院工作，妇科、产科临床经验丰富，熟悉各种妇科、产科常见问题的处理。,2016/7/19,Object(a10)
ObjectID(au19),ObjectID(au19),张景峰,副主任医师,0,放射科,浙江大学附属第一医院,影像医学与核医学博士，从事临床放射诊断与介入治疗工作18年，擅长胸腹部、骨关节疾病影像诊断，及肿瘤与出血性疾病的介入治疗,2020/4/25,[]
ObjectID(au20),ObjectID(au20),徐丹枫,医师,0,皮肤科,浙江省人民医院,毕业于浙江大学临床医学七年制，擅长皮肤美容，皮肤外科，注射美容，擅长敏感肌肤、痤疮、皮肤老化、毛孔粗大问题的综合处理。,2014/4/5,"['Object(a11)', 'Object(a12)']"
ObjectID(au21),ObjectID(au21),许志朋,副主任医师,0,消化内科,浙江大学医学院附属第二医院,消化医学博士，主要研究方向是消化道早期肿瘤的基础与临床研究，擅长内镜ESD治疗，熟悉ERCP、EUS等内镜操作。,2015/11/19,Object(a13)
ObjectID(au22),ObjectID(au22),冯晨,主治医师,0,消化内科,浙江大学医学院附属第二医院,医学博士，毕业于浙江大学临床医学八年制。主治医生，擅长消化内科系统常见疾病的诊治。,2015/8/21,Object(a14)
ObjectID(au23),ObjectID(au23),楼剑,副主任医师,0,呼吸科,浙江大学医学院附属第二医院,浙江大学临床医学博士，呼吸内科副主任医师，擅长呼吸内科常见病、多发病的诊治，对于肺癌、肺栓塞、肺部感染等有较深入研究。,2014/11/26,Object(a15)
ObjectID(au24),ObjectID(au24),唐亚娟,副主任医师,0,神经外科,浙江大学医学院附属第二医院,颅脑、脊髓脊柱常见疾病，包括颅脑外伤、脑血管病(高血压脑出血、动脉瘤、脑血管畸形、烟雾病）、脊髓肿瘤、颈椎病、腰椎病等。,2016/8/9,Object(a16)
